elapsed_min,pressure_hpa,temperature_c,gps_alt_km
0.08333,956.85,34.43,0.57
0.25,956.875,34.44,0.57
0.41667,956.96,34.44,0.57
0.58333,956.94,34.46,0.57
0.75,956.965,34.46,0.57
0.91667,957.01,34.47,0.57
1.08333,956.89,34.49,0.57
1.25,956.86,34.51,0.57
1.41667,956.79,34.55,0.57
1.58333,956.81,34.57,0.57
1.75,956.8,34.58,0.57
1.91667,956.82,34.59,0.57
2.08333,956.81,34.6,0.57
2.25,956.82,34.61,0.57
2.41667,956.83,34.62,0.57
2.58333,956.88,34.63,0.57
2.75,956.99,34.64,0.57
2.91667,956.97,34.65,0.57
3.08333,956.93,34.66,0.57
3.25,956.91,34.66,0.57
3.41667,956.83,34.68,0.57
3.58333,956.83,34.68,0.57
3.75,956.84,34.69,0.57
3.91667,956.89,34.7,0.57
4.08333,956.89,34.715,0.57
4.25,956.86,34.73,0.57
4.41667,956.85,34.74,0.57
4.58333,956.83,34.74,0.57
4.75,956.78,34.76,0.57
4.91667,956.78,34.77,0.57
5.08333,956.78,34.78,0.57
5.25,956.76,34.79,0.57
5.41667,956.76,34.8,0.57
5.58333,956.77,34.83,0.57
5.75,956.87,34.85,0.57
5.91667,956.86,34.87,0.57
6.08333,956.86,34.9,0.57
6.25,956.86,34.91,0.57
6.41667,956.88,34.95,0.57
6.58333,956.885,34.96,0.57
6.75,956.87,34.97,0.57
6.91667,956.87,34.99,0.57
7.08333,956.88,35.02,0.57
7.25,956.88,35.04,0.57
7.41667,956.9,35.07,0.57
7.58333,956.895,35.09,0.57
7.75,956.89,35.11,0.57
7.91667,956.88,35.14,0.57
8.08333,956.87,35.16,0.57
8.25,956.86,35.18,0.57
8.41667,956.86,35.205,0.57
8.58333,956.83,35.22,0.57
8.75,956.8,35.24,0.572
8.91667,956.75,35.25,0.569
9.08333,956.77,35.26,0.57
9.25,956.82,35.28,0.572
9.41667,956.79,35.29,0.574
9.58333,956.83,35.3,0.576
9.75,956.85,35.32,0.576
9.91667,956.58,35.33,0.575
10.08333,951.12,35.34,0.634
10.25,945.38,35.36,0.684
10.41667,939.36,35.36,0.738
10.58333,932.49,35.37,0.804
10.75,926.25,35.39,0.865
10.91667,921.51,35.4,0.905
11.08333,917.96,35.42,0.932
11.25,914.26,35.44,0.967
11.41667,910.51,35.45,1.005
11.58333,906.45,35.47,1.045
11.75,903.41,35.49,1.075
11.91667,898.9,35.5,1.118
12.08333,893.86,35.52,1.17
12.25,888.28,35.54,1.216
12.41667,882.75,35.56,1.275
12.58333,877.44,35.57,1.325
12.75,872.28,35.59,1.3745
12.91667,866.935,35.61,1.423
13.08333,861.29,35.62,1.477
13.25,855.75,35.63,1.539
13.41667,851.14,35.65,1.581
13.58333,844.83,35.66,1.654
13.75,838.09,35.67,1.719
13.91667,831.81,35.68,1.7825
14.08333,825.5,35.69,1.852
14.25,820.58,35.7,1.9
14.41667,814.98,35.71,1.957
14.58333,809.535,35.72,2.006
14.75,803.3,35.72,2.078
14.91667,797.76,35.72,2.132
15.08333,792.35,35.72,2.1925
15.25,787.54,35.71,2.242
15.41667,782.32,35.71,2.295
15.58333,776.57,35.71,2.358
15.75,771.17,35.71,2.4175
15.91667,765.73,35.71,2.472
16.08333,760.67,35.7,2.529
16.25,755.21,35.7,2.581
16.41667,749.37,35.69,2.654
16.58333,744.13,35.69,2.709
16.75,738.29,35.68,2.781
16.91667,732.845,35.67,2.838
17.08333,727.19,35.66,2.906
17.25,722.41,35.64,2.966
17.41667,717.63,35.63,3.015
17.58333,712.81,35.61,3.076
17.75,708.23,35.6,3.131
17.91667,703.21,35.59,3.1805
18.08333,698.28,35.57,3.24
18.25,693.24,35.55,3.302
18.41667,688.51,35.54,3.361
18.58333,683.91,35.53,3.417
18.75,678.86,35.51,3.476
18.91667,674.22,35.49,3.532
19.08333,669.22,35.47,3.5915
19.25,664.46,35.46,3.659
19.41667,659.82,35.44,3.704
19.58333,655.47,35.425,3.758
19.75,650.875,35.4,3.8175
19.91667,646.83,35.39,3.872
20.08333,642.3,35.37,3.932
20.25,638.17,35.35,3.985
20.41667,634.06,35.33,4.037
20.58333,629.97,35.3,4.087
