elapsed_min,gps_alt_km,baro_alt_km,phase
0.04167,0.57,-0.00013,0
0.125,0.57,-0.00024,0
0.20833,0.57,-0.00023,0
0.29167,0.57,-0.00018,0
0.375,0.57,-0.00052,0
0.45833,0.57,-0.00046,0
0.54167,0.57,-0.00008,0
0.625,0.57,-0.00006,0
0.70833,0.57,-0.0002,0
0.79167,0.57,-0.00042,0
0.875,0.57,-0.00066,0
0.95833,0.57,0.00037,0
1.04167,0.57,0.00057,0
1.125,0.57,0.00048,0
1.20833,0.57,0.00016,0
1.29167,0.57,0.00054,0
1.375,0.57,0.0006,0
1.45833,0.57,0.00032,0
1.54167,0.57,0.00002,0
1.625,0.57,0.00026,0
1.70833,0.57,0.00016,0
1.79167,0.57,-0.00005,0
1.875,0.57,-0.0001,0
1.95833,0.57,-0.00019,0
2.04167,0.57,-0.00007,0
2.125,0.57,0.00007,0
2.20833,0.57,-0.00003,0
2.29167,0.57,0.00003,0
2.375,0.57,-0.00022,0
2.45833,0.57,0.00001,0
2.54167,0.57,-0.00026,0
2.625,0.57,-0.00073,0
2.70833,0.57,-0.00084,0
2.79167,0.57,-0.00054,0
2.875,0.57,-0.00019,0
2.95833,0.57,-0.00005,0
3.04167,0.57,0.00023,0
3.125,0.57,0.00017,0
3.20833,0.57,0.0002,0
3.29167,0.57,0.00035,0
3.375,0.57,0.00051,0
3.45833,0.57,0.00051,0
3.54167,0.57,0.00018,0
3.625,0.57,0.00014,0
3.70833,0.57,0.00006,0
3.79167,0.57,-0.00026,0
3.875,0.57,-0.00029,0
3.95833,0.57,-0.00011,0
4.04167,0.57,-0.00016,0
4.125,0.57,0.00014,0
4.20833,0.57,0.00004,0
4.29167,0.57,0.00016,0
4.375,0.57,0.00011,0
4.45833,0.57,0.00009,0
4.54167,0.57,0.00018,0
4.625,0.57,0.00025,0
4.70833,0.57,0.0002,0
4.79167,0.57,0.0003,0
4.875,0.57,0.00018,0
4.95833,0.57,0.00017,0
5.04167,0.57,0.00006,0
5.125,0.57,-0.00002,0
5.20833,0.57,0.00006,0
5.29167,0.57,0.00016,0
5.375,0.57,0.00001,0
5.45833,0.57,-0.00001,0
5.54167,0.57,-0.00001,0
5.625,0.57,-0.00007,0
5.70833,0.57,-0.00066,0
5.79167,0.57,-0.00044,0
5.875,0.57,-0.00023,0
5.95833,0.57,-0.00023,0
6.125,0.57,0.00004,0
6.20833,0.57,0.00005,0
6.29167,0.57,0.00004,0
6.375,0.57,-0.00018,0
6.45833,0.57,0.0001,0
6.54167,0.57,-0.00017,0
6.625,0.57,0.00001,0
6.70833,0.57,0.00005,0
6.79167,0.57,0.00005,0
6.875,0.57,-0.00008,0
6.95833,0.57,0.00017,0
7.04167,0.57,0,0
7.125,0.57,-0.00015,0
7.20833,0.57,0.00003,0
7.29167,0.57,0.00009,0
7.375,0.57,-0.00013,0
7.45833,0.57,-0.00006,0
7.54167,0.57,-0.00005,0
7.625,0.57,0.00004,0
7.70833,0.57,-0.00004,0
7.79167,0.57,0.00002,0
7.875,0.57,0.00009,0
7.95833,0.57,0.00013,0
8.04167,0.57,-0.00002,0
8.125,0.57,0.00013,0
8.20833,0.57,0.00007,0
8.29167,0.57,0.00013,0
8.375,0.57,0.00001,0
8.45833,0.57,0.00004,0
8.54167,0.57,0.00015,0
8.625,0.575,0.00026,0
8.70833,0.573,0.0003,0
8.79167,0.571,0.00019,0
8.875,0.569,0.00026,0
8.95833,0.568,0.0006,0
9.04167,0.57,0.0001,0
9.125,0.57,-0.00018,0
9.20833,0.572,-0.00036,0
9.29167,0.572,-0.00017,0
9.375,0.573,0.00017,0
9.45833,0.575,0.00009,0
9.54167,0.576,-0.00022,0
9.625,0.576,-0.00026,0
9.70833,0.576,-0.00018,0
9.79167,0.575,-0.00016,0
9.875,0.575,0.00013,0
9.95833,0.585,0.01373,1
10.04167,0.619,0.03882,1
10.125,0.647,0.0638,2
10.20833,0.675,0.08752,2
10.29167,0.698,0.1106,2
10.375,0.722,0.13902,2
10.45833,0.751,0.16567,2
10.54167,0.789,0.19922,2
