elapsed_min,fix_type,satellites
0.01667,0,0
0.05,0,0
0.08333,0,0
0.11667,0,0
0.15,0,0
0.18333,0,0
0.21667,0,0
0.25,0,0
0.28333,0,0
0.31667,0,0
0.35,0,0
0.38333,0,0
0.41667,0,0
0.45,0,0
0.48333,0,0
0.51667,0,0
0.55,0,0
0.58333,0,0
0.61667,0,0
0.65,0,0
0.68333,0,0
0.71667,0,0
0.75,0,0
0.78333,0,0
0.81667,0,0
0.85,0,0
0.88333,0,0
0.91667,0,0
0.95,0,0
0.98333,0,0
1.01667,0,0
1.05,0,0
1.08333,0,0
1.11667,0,0
1.15,0,0
1.18333,0,0
1.21667,0,0
1.25,0,0
1.28333,0,0
1.31667,0,0
1.35,0,0
1.38333,0,0
1.41667,0,0
1.45,0,0
1.48333,0,0
1.51667,0,0
1.55,0,0
1.58333,0,0
1.61667,0,0
1.65,0,0
1.68333,0,0
1.71667,0,0
1.75,0,0
1.78333,0,0
1.81667,0,0
1.85,0,0
1.88333,0,0
1.91667,0,0
1.95,0,0
1.98333,0,0
2.01667,0,0
2.05,0,0
2.08333,0,0
2.11667,0,0
2.15,0,0
2.18333,0,0
2.21667,0,0
2.25,0,0
2.28333,0,0
2.31667,0,0
2.35,0,0
2.38333,0,0
2.41667,0,0
2.45,0,0
2.48333,0,0
2.51667,0,0
2.55,0,0
2.58333,0,0
2.61667,0,0
2.65,0,0
2.68333,0,0
2.71667,0,0
2.75,0,0
2.78333,0,0
2.81667,0,0
2.85,0,0
2.88333,0,0
2.91667,0,0
2.95,0,0
2.98333,0,0
3.01667,0,0
3.05,0,0
3.08333,0,0
3.11667,0,0
3.15,0,0
3.18333,0,0
3.21667,0,0
3.25,0,0
3.28333,0,0
3.31667,0,0
3.35,0,0
3.38333,0,0
3.41667,0,0
3.45,0,0
3.48333,0,0
3.51667,0,0
3.55,0,0
3.58333,0,0
3.61667,0,0
3.65,0,0
3.68333,0,0
3.71667,0,0
3.75,0,0
3.78333,0,0
3.81667,0,0
3.85,0,0
3.88333,0,0
3.91667,0,0
3.95,0,0
3.98333,0,0
4.01667,0,0
4.05,0,0
4.08333,0,0
4.11667,0,0
4.15,0,0
4.18333,0,0
4.21667,0,0
4.25,0,0
4.28333,0,0
4.31667,0,0
4.35,0,0
4.38333,0,0
4.41667,0,0
4.45,0,0
4.48333,0,0
4.51667,0,0
4.55,0,0
4.58333,0,0
4.61667,0,0
4.65,0,0
4.68333,0,0
4.71667,0,0
4.75,0,0
4.78333,0,0
4.81667,0,0
4.85,0,0
4.88333,0,0
4.91667,0,0
4.95,0,0
4.98333,0,0
5.01667,0,0
5.05,0,0
5.08333,0,0
5.11667,0,0
5.15,0,0
5.18333,0,0
5.21667,0,0
5.25,0,0
5.28333,0,0
5.31667,0,0
5.35,0,0
5.38333,0,0
5.41667,0,0
5.45,0,0
5.48333,0,0
5.51667,0,0
5.55,0,0
5.58333,0,0
5.61667,0,0
5.65,0,0
5.68333,0,0
5.71667,0,0
5.75,0,0
5.78333,0,0
5.81667,0,0
5.85,0,0
5.88333,0,0
5.91667,0,0
5.95,0,0
5.98333,0,0
6.11667,0,0
6.15,0,0
6.18333,0,0
6.21667,0,0
6.25,0,0
6.28333,0,0
6.31667,0,0
6.35,0,0
6.38333,0,0
6.41667,0,0
6.45,0,0
6.48333,0,0
