elapsed_min,sequence,cloud_fraction_percent,status,valid
0,430,0.3891,0,1
0.04759,431,1.561,0,1
0.32999,432,0.3891,0,1
0.61876,433,0.7797,0,1
0.91146,434,0.3891,0,1
1.2,435,15.6237,0,1
1.48333,436,38.6709,0,1
1.77504,437,0,0,1
2.06111,438,0.3891,0,1
2.35,439,0.7797,0,1
2.62587,440,0.7797,0,1
2.94112,441,0.7797,0,1
3.22436,442,0.3891,0,1
3.50414,443,1.561,0,1
3.78886,444,0.7797,0,1
4.07474,445,0.3891,0,1
4.35794,446,0.3891,0,1
4.64225,447,0.7797,0,1
4.92668,448,1.561,0,1
5.20988,449,10.1549,0,1
5.49662,450,0.7797,0,1
5.77853,451,21.0925,0,1
6.11667,452,0,0,1
6.34693,453,2.3423,0,1
6.63333,454,7.8111,0,1
6.92147,454,7.8111,1,1
7.2017,456,8.2017,0,1
7.48741,457,12.4987,0,1
7.77387,458,21.0925,0,1
8.05916,459,13.6706,0,1
8.35,460,14.4518,0,1
8.63785,461,18.7488,0,1
8.91902,462,0.3891,0,1
9.21237,463,31.6396,0,1
9.49794,464,8.983,0,1
9.78333,465,3.9048,0,1
10.06667,466,1.1704,0,1
10.35,467,11.7174,0,1
10.64084,468,13.6706,0,1
10.9289,469,33.2021,0,1
11.21087,470,6.2486,0,1
11.49574,471,25.3895,0,1
11.77612,472,46.0929,0,1
12.06667,473,12.4987,0,1
12.3459,474,7.4205,0,1
12.63333,475,5.8579,0,1
12.92267,476,8.983,0,1
13.20838,477,15.6237,0,1
13.49129,478,33.2021,0,1
13.77636,479,10.1549,0,1
14.06018,480,2.7329,0,1
14.3461,481,6.2486,0,1
14.63648,482,13.6706,0,1
14.9205,483,3.5142,0,1
15.2068,484,30.0771,0,1
15.49031,485,9.7642,0,1
15.7797,486,21.0925,0,1
16.06491,487,8.2017,0,1
16.34683,488,0.7797,0,1
16.63821,489,3.5142,0,1
16.92153,490,22.6551,0,1
17.21118,491,25.3895,0,1
17.49763,492,21.0925,0,1
17.78333,493,26.952,0,1
18.0721,494,1.9516,0,1
18.35789,495,13.6706,0,1
18.6444,496,2.7329,0,1
18.92917,497,6.2486,0,1
19.21326,498,6.2486,0,1
19.50656,499,10.1549,0,1
19.84042,499,10.1549,1,0
19.97674,500,33.2021,0,1
20.26254,501,2.7329,0,1
20.55,502,19.9207,0,1
20.84021,503,19.9207,0,1
21.1259,504,10.1549,0,1
21.42613,505,38.6709,0,1
21.7064,506,57.8119,0,1
21.99736,507,12.4987,0,1
22.28084,508,10.1549,0,1
22.56376,509,1.1704,0,1
22.84228,510,10.1549,0,1
23.1271,511,11.7174,0,1
23.41049,512,31.6396,0,1
23.68982,513,36.7178,0,1
23.97744,514,36.7178,0,1
24.26297,515,5.8579,0,1
24.5435,516,0.7797,0,1
24.82972,517,33.2021,0,1
25.11474,518,28.5145,0,1
25.39524,519,17.5769,0,1
25.68333,520,13.6706,0,1
25.96667,521,36.7178,0,1
26.25,522,42.1866,0,1
26.5297,523,48.0461,0,1
26.81667,524,48.0461,0,1
27.1,525,1.561,0,1
27.38525,526,30.0771,0,1
27.66895,527,26.952,0,1
27.95378,528,5.0767,0,1
28.24259,529,10.1549,0,1
28.52739,530,25.3895,0,1
28.81667,531,40.6241,0,1
29.09765,532,38.6709,0,1
29.3784,533,19.9207,0,1
