elapsed_min,battery_v,battery_min_v,battery_max_v,coral_fault
0.01667,3.955,3.929,3.968,0
0.05,3.955,3.942,3.961,0
0.08333,3.955,3.942,3.974,0
0.11667,3.952,3.936,3.964,0
0.15,3.95,3.9,3.958,0
0.18333,3.952,3.932,3.961,0
0.21667,3.95,3.932,3.971,0
0.25,3.945,3.936,3.971,0
0.28333,3.955,3.932,3.971,0
0.31667,3.952,3.872,3.971,0
0.35,3.948,3.929,3.961,0
0.38333,3.952,3.936,3.968,0
0.41667,3.952,3.936,3.961,0
0.45,3.952,3.942,3.964,0
0.48333,3.9535,3.894,3.961,0
0.51667,3.948,3.923,3.971,0
0.55,3.95,3.929,3.964,0
0.58333,3.955,3.942,3.968,0
0.61667,3.955,3.936,3.961,0
0.65,3.952,3.894,3.964,0
0.68333,3.952,3.942,3.964,0
0.71667,3.955,3.936,3.961,0
0.75,3.9535,3.942,3.961,0
0.78333,3.952,3.942,3.961,0
0.81667,3.942,3.9,3.952,0
0.85,3.955,3.942,3.968,0
0.88333,3.955,3.942,3.971,0
0.91667,3.952,3.936,3.974,0
0.95,3.9535,3.942,3.958,0
0.98333,3.945,3.92,3.977,0
1.01667,3.9535,3.942,3.964,0
1.05,3.952,3.942,3.958,0
1.08333,3.952,3.932,3.968,0
1.11667,3.948,3.932,3.958,0
1.15,3.952,3.936,3.968,0
1.18333,3.955,3.904,3.964,0
1.21667,3.952,3.942,3.968,0
1.25,3.952,3.942,3.958,0
1.28333,3.955,3.936,3.958,0
1.31667,3.948,3.939,3.964,0
1.35,3.952,3.894,3.958,0
1.38333,3.9465,3.929,3.961,0
1.41667,3.955,3.929,3.977,0
1.45,3.955,3.929,3.971,0
1.48333,3.9535,3.926,3.964,0
1.51667,3.952,3.9,3.955,0
1.55,3.952,3.942,3.968,0
1.58333,3.952,3.939,3.958,0
1.61667,3.952,3.923,3.961,0
1.65,3.952,3.936,3.955,0
1.68333,3.942,3.891,3.958,0
1.71667,3.955,3.926,3.958,0
1.75,3.955,3.942,3.964,0
1.78333,3.948,3.939,3.955,0
1.81667,3.95,3.939,3.958,0
1.85,3.952,3.891,3.955,0
1.88333,3.952,3.942,3.958,0
1.91667,3.95,3.939,3.958,0
1.95,3.945,3.936,3.961,0
1.98333,3.942,3.932,3.971,0
2.01667,3.955,3.9,3.968,0
2.05,3.955,3.929,3.961,0
2.08333,3.952,3.942,3.961,0
2.11667,3.9535,3.942,3.958,0
2.15,3.95,3.92,3.958,0
2.18333,3.952,3.904,3.961,0
2.21667,3.948,3.904,3.958,0
2.25,3.9435,3.936,3.955,0
2.28333,3.948,3.929,3.964,0
2.31667,3.952,3.926,3.964,0
2.35,3.952,3.936,3.958,0
2.38333,3.948,3.894,3.964,0
2.41667,3.948,3.936,3.961,0
2.45,3.952,3.936,3.958,0
2.48333,3.952,3.932,3.961,0
2.51667,3.9465,3.936,3.961,0
2.55,3.9435,3.888,3.958,0
2.58333,3.948,3.932,3.964,0
2.61667,3.952,3.932,3.961,0
2.65,3.952,3.942,3.958,0
2.68333,3.952,3.929,3.958,0
2.71667,3.952,3.897,3.958,0
2.75,3.948,3.936,3.961,0
2.78333,3.945,3.936,3.958,0
2.81667,3.948,3.939,3.955,0
2.85,3.945,3.926,3.961,0
2.88333,3.95,3.878,3.968,0
2.91667,3.95,3.923,3.958,0
2.95,3.948,3.929,3.958,0
2.98333,3.948,3.936,3.958,0
3.01667,3.948,3.929,3.961,0
3.05,3.952,3.891,3.971,0
3.08333,3.952,3.945,3.958,0
3.11667,3.942,3.926,3.984,0
3.15,3.942,3.929,3.958,0
3.18333,3.945,3.923,3.964,0
3.21667,3.952,3.891,3.961,0
3.25,3.948,3.936,3.958,0
3.28333,3.945,3.942,3.958,0
3.31667,3.948,3.907,3.955,0
3.35,3.945,3.932,3.958,0
3.38333,3.945,3.932,3.955,0
3.41667,3.942,3.9,3.971,0
