elapsed_min,latitude_deg,longitude_deg,altitude_km,map_x,map_y
8.58333,48.0879712,11.296012,0.575,1088.2617572,-711.1657613
8.75,48.087952,11.2960232,0.572,1088.2618209,-711.1659248
8.91667,48.0879776,11.2960176,0.569,1088.261789,-711.1657068
9.08333,48.0879872,11.2960128,0.57,1088.2617617,-711.165625
9.25,48.0879744,11.2960208,0.572,1088.2618072,-711.165734
9.41667,48.087968,11.2960192,0.574,1088.2617981,-711.1657885
9.58333,48.0879584,11.2960264,0.576,1088.2618391,-711.1658703
9.75,48.0879584,11.296026,0.576,1088.2618368,-711.1658703
9.91667,48.0879584,11.2960264,0.575,1088.2618391,-711.1658703
10.08333,48.087648,11.2959784,0.634,1088.261566,-711.1685138
10.25,48.087312,11.2960032,0.684,1088.2617071,-711.1713753
10.41667,48.0870624,11.2958352,0.738,1088.2607514,-711.1735009
10.58333,48.0869152,11.2957888,0.804,1088.2604874,-711.1747545
10.75,48.0868608,11.2958536,0.865,1088.260856,-711.1752178
10.91667,48.0867456,11.2958624,0.905,1088.2609061,-711.1761989
11.08333,48.0868288,11.295704,0.932,1088.260005,-711.1754903
11.25,48.0869248,11.2954808,0.967,1088.2587352,-711.1746728
11.41667,48.086928,11.2952088,1.005,1088.2571878,-711.1746455
11.58333,48.0869152,11.2950128,1.045,1088.2560728,-711.1747545
11.75,48.086776,11.2946792,1.075,1088.254175,-711.17594
11.91667,48.0865312,11.2942832,1.118,1088.2519222,-711.1780248
12.08333,48.0863328,11.2938016,1.17,1088.2491824,-711.1797144
12.25,48.086192,11.2935208,1.216,1088.247585,-711.1809135
12.41667,48.0860352,11.2931648,1.275,1088.2455598,-711.1822488
12.58333,48.0859872,11.2929384,1.325,1088.2442718,-711.1826576
12.75,48.08616,11.2926732,1.3745,1088.2427631,-711.181186
12.91667,48.0861696,11.292364,1.423,1088.2410041,-711.1811042
13.08333,48.086128,11.291952,1.477,1088.2386603,-711.1814585
13.25,48.0861664,11.2916104,1.539,1088.2367169,-711.1811315
13.41667,48.0862784,11.2913752,1.581,1088.2353789,-711.1801777
13.58333,48.0863328,11.2911384,1.654,1088.2340318,-711.1797144
13.75,48.0863264,11.2909392,1.719,1088.2328986,-711.1797689
13.91667,48.0864864,11.290864,1.7825,1088.2324708,-711.1784063
14.08333,48.086656,11.2911432,1.852,1088.2340591,-711.1769619
14.25,48.086936,11.2915,1.9,1088.2360889,-711.1745774
14.41667,48.0872448,11.2918312,1.957,1088.237973,-711.1719476
14.58333,48.087632,11.292168,2.006,1088.2398891,-711.16865
14.75,48.0879968,11.2925456,2.078,1088.2420372,-711.1655432
14.91667,48.0881952,11.2929536,2.132,1088.2443583,-711.1638536
15.08333,48.0884784,11.293616,2.1925,1088.2481266,-711.1614417
15.25,48.0888992,11.2942928,2.242,1088.2519768,-711.1578579
15.41667,48.0891424,11.2949864,2.295,1088.2559226,-711.1557867
15.58333,48.0893696,11.2956728,2.358,1088.2598275,-711.1538517
15.75,48.089448,11.2965392,2.4175,1088.2647563,-711.153184
15.91667,48.0895616,11.2972568,2.472,1088.2688387,-711.1522165
16.08333,48.0896896,11.298192,2.529,1088.2741589,-711.1511264
16.25,48.0897392,11.2993012,2.581,1088.280469,-711.1507039
16.41667,48.0897088,11.3005296,2.654,1088.2874573,-711.1509628
16.58333,48.0897472,11.3014448,2.709,1088.2926638,-711.1506358
16.75,48.0897952,11.3027592,2.781,1088.3001412,-711.150227
16.91667,48.0900064,11.3036992,2.838,1088.3054888,-711.1484282
17.08333,48.0901856,11.3048408,2.906,1088.3119832,-711.146902
17.25,48.0901984,11.3061088,2.966,1088.3191967,-711.146793
17.41667,48.0900064,11.3072032,3.015,1088.3254226,-711.1484282
17.58333,48.0898016,11.3082312,3.076,1088.3312708,-711.1501725
17.75,48.089616,11.3091104,3.131,1088.3362725,-711.1517532
17.91667,48.0893584,11.310078,3.1805,1088.3417771,-711.1539471
18.08333,48.0889792,11.3112296,3.24,1088.3483284,-711.1571766
18.25,48.0884384,11.3122256,3.302,1088.3539945,-711.1617824
18.41667,48.0879712,11.313364,3.361,1088.3604708,-711.1657613
18.58333,48.0874592,11.3143912,3.417,1088.3663144,-711.1701217
18.75,48.087056,11.3156588,3.476,1088.3735256,-711.1735554
18.91667,48.0863616,11.3168688,3.532,1088.3804092,-711.1794691
19.08333,48.0857648,11.318326,3.5915,1088.388699,-711.1845515
19.25,48.0852544,11.3194688,3.659,1088.3952003,-711.1888981
19.41667,48.0845824,11.3205792,3.704,1088.4015172,-711.1946208
19.58333,48.0841088,11.3217736,3.758,1088.408312,-711.1986539
19.75,48.0834432,11.3228264,3.8175,1088.4143013,-711.204322
19.91667,48.082912,11.3239272,3.872,1088.4205636,-711.2088455
20.08333,48.0823712,11.3249712,3.932,1088.4265028,-711.2134507
20.25,48.0819552,11.3261496,3.985,1088.4332066,-711.2169932
20.41667,48.0815456,11.3274704,4.037,1088.4407205,-711.2204811
