elapsed_min,range_km
8.58333,0.05
8.75,0.05
8.91667,0.05
9.08333,0.05
9.25,0.05
9.41667,0.05
9.58333,0.05
9.75,0.05
9.91667,0.05
10.08333,0.06163
10.25,0.12404
10.41667,0.18444
10.58333,0.24986
10.75,0.30735
10.91667,0.34915
11.08333,0.37135
11.25,0.40231
11.41667,0.44068
11.58333,0.48134
11.75,0.51787
11.91667,0.57153
12.08333,0.6345
12.25,0.68679
12.41667,0.75315
12.58333,0.80528
12.75,0.85177
12.91667,0.90328
13.08333,0.96365
13.25,1.02825
13.41667,1.07056
13.58333,1.14332
13.75,1.20899
13.91667,1.26808
14.08333,1.3261
14.25,1.3625
14.41667,1.4098
14.58333,1.45084
14.75,1.51618
14.91667,1.56507
15.08333,1.6198
15.25,1.66682
15.41667,1.71853
15.58333,1.78204
15.75,1.84249
15.91667,1.89989
16.08333,1.96261
16.25,2.02321
16.41667,2.10782
16.58333,2.17401
16.75,2.26475
16.91667,2.33851
17.08333,2.42781
17.25,2.5121
17.41667,2.58181
17.58333,2.66268
17.75,2.73542
17.91667,2.80593
18.08333,2.89161
18.25,2.97627
18.41667,3.06453
18.58333,3.14833
18.75,3.24403
18.91667,3.33821
19.08333,3.44591
19.25,3.55041
19.41667,3.63729
19.58333,3.73426
19.75,3.83421
19.91667,3.931
20.08333,4.0312
20.25,4.12955
20.41667,4.2335
20.58333,4.3345
20.75,4.43597
20.91667,4.54756
21.08333,4.64002
21.25,4.7568
21.41667,4.85757
21.58333,4.99388
21.75,5.10364
21.91667,5.20639
22.08333,5.31365
22.25,5.41081
22.41667,5.52962
22.58333,5.66286
22.75,5.78099
22.91667,5.90468
23.08333,6.04044
23.25,6.15688
23.41667,6.26748
23.58333,6.39955
23.75,6.5311
23.91667,6.6616
24.08333,6.79231
24.25,6.92725
24.41667,7.05963
24.58333,7.21181
24.75,7.34695
24.91667,7.477
25.08333,7.61893
25.25,7.76553
25.41667,7.92036
25.58333,8.05883
25.75,8.21764
25.91667,8.35709
26.08333,8.52413
26.25,8.65721
26.41667,8.80876
26.58333,8.97605
26.75,9.134
26.91667,9.29055
27.08333,9.42574
27.25,9.58148
27.41667,9.70222
27.58333,9.84317
27.75,9.99577
27.91667,10.13501
28.08333,10.3042
28.25,10.46902
28.41667,10.6101
28.58333,10.7949
28.75,10.95036
28.91667,11.13161
29.08333,11.27815
29.25,11.47059
29.41667,11.645
29.58333,11.80588
29.75,11.98511
29.91667,12.13119
30.08333,12.31532
30.25,12.48437
30.41667,12.64096
30.58333,12.78723
30.75,12.96627
30.91667,13.12268
31.08333,13.27897
31.25,13.44504
31.41667,13.62696
31.58333,13.75594
31.75,13.96662
31.91667,14.11968
32.08333,14.31563
32.25,14.47006
32.41667,14.64556
32.58333,14.80212
32.75,14.96596
32.91667,15.11986
33.08333,15.3024
33.25,15.47713
33.41667,15.68725
33.58333,15.88575
33.75,16.12683
33.91667,16.31383
34.08333,16.5493
34.25,16.75927
34.41667,16.9876
34.58333,17.2019
34.75,17.38859
34.91667,17.61513
35.08333,17.83345
35.25,18.04736
35.41667,18.3029
35.58333,18.52004
35.75,18.76392
35.91667,18.99332
36.08333,19.21665
36.25,19.46971
36.41667,19.70178
36.58333,19.96278
36.75,20.17918
36.91667,20.45585
37.08333,20.67605
37.25,20.91626
37.41667,21.16616
37.58333,21.40686
37.75,21.67833
37.91667,21.90514
38.08333,22.1429
38.25,22.3841
38.41667,22.61598
38.58333,22.86903
38.75,23.18153
38.91667,23.41668
39.08333,23.70057
39.25,23.96114
39.41667,24.23567
39.58333,24.52822
39.75,24.81456
39.91667,25.09113
40.08333,25.35778
40.25,25.62217
40.41667,25.88841
40.58333,26.21398
40.75,26.45646
40.91667,26.67983
41.08333,26.97214
41.25,27.23025
41.41667,27.50451
41.58333,27.82648
41.75,28.10582
41.91667,28.37456
42.08333,28.6834
42.25,28.97349
42.41667,29.26802
42.58333,29.59383
42.75,29.8981
42.91667,30.17174
43.08333,30.48014
43.25,30.72241
43.41667,31.06753
43.58333,31.36522
43.75,31.66158
43.91667,31.92695
44.08333,32.22208
44.25,32.49819
44.41667,32.82166
44.58333,33.10253
44.75,33.40836
44.91667,33.65461
45.08333,33.97511
45.25,34.21672
45.41667,34.52148
45.58333,34.79833
45.75,35.07012
45.91667,35.32743
46.08333,35.56715
46.25,35.7855
46.41667,36.01646
46.58333,36.24409
46.75,36.48281
46.91667,36.67996
47.08333,36.90759
47.25,37.08685
47.41667,37.29847
47.58333,37.53975
47.75,37.74085
47.91667,37.91669
48.08333,38.08522
48.25,38.29751
48.41667,38.48289
48.58333,38.6378
48.75,38.81486
48.91667,38.97229
49.08333,39.16854
49.25,39.3385
49.41667,39.52833
49.58333,39.69415
49.75,39.82154
49.91667,39.98023
50.08333,40.10589
50.25,40.27093
50.41667,40.43895
50.58333,40.61192
50.75,40.81
50.91667,40.94734
51.08333,41.10161
51.25,41.26026
51.41667,41.41214
51.58333,41.57689
51.75,41.76398
51.91667,41.92929
52.08333,42.09713
52.25,42.25849
52.41667,42.41954
52.58333,42.57829
52.75,42.71574
52.91667,42.83622
53.08333,42.976
53.25,43.0463
53.41667,43.1428
53.58333,43.26867
53.75,43.3508
53.91667,43.47505
54.08333,43.58586
54.25,43.72208
54.41667,43.88551
54.58333,43.99928
54.75,44.08224
54.91667,44.15701
55.08333,44.26932
55.25,44.35404
55.41667,44.45332
55.58333,44.56945
55.75,44.65096
55.91667,44.73252
56.08333,44.8306
56.25,44.92367
56.41667,45.0262
56.58333,45.10463
56.75,45.22491
56.91667,45.33546
57.08333,45.46245
57.25,45.58861
57.41667,45.68687
57.58333,45.79487
57.75,45.87915
57.91667,45.97278
58.08333,46.06848
58.25,46.13498
58.41667,46.20587
58.58333,46.27649
58.75,46.34306
58.91667,46.39995
59.08333,46.45916
59.25,46.50492
59.41667,46.54275
59.58333,46.61077
59.75,46.66302
59.91667,46.7306
60.08333,46.75158
60.25,46.78655
60.41667,46.8319
60.58333,46.87196
60.75,46.9159
60.91667,46.95666
61.08333,47.00088
61.25,47.05417
61.41667,47.09548
61.58333,47.15916
61.75,47.2442
61.91667,47.34095
62.08333,47.40141
62.25,47.44056
62.41667,47.47102
62.58333,47.5076
62.75,47.55579
62.91667,47.62286
63.08333,47.67078
63.25,47.70717
63.41667,47.7364
63.58333,47.76313
63.75,47.78191
63.91667,47.79324
64.08333,47.79405
64.25,47.7867
64.41667,47.78379
64.58333,47.80281
64.75,47.8305
64.91667,47.8177
65.08333,47.81811
65.25,47.83992
65.41667,47.85953
65.58333,47.90513
65.75,47.92259
65.91667,47.90575
66.08333,47.88324
66.25,47.86097
66.41667,47.87783
66.58333,47.90956
66.75,47.93511
66.91667,47.946
67.08333,47.96727
67.25,47.98081
67.41667,47.9832
67.58333,47.99104
67.75,47.97216
67.91667,47.9661
68.08333,47.95351
68.25,47.91661
68.41667,47.87408
68.58333,47.81355
68.75,47.77415
68.91667,47.74756
