pc_time_iso,pc_time_unix,event_type,severity,message,sequence_number,lora_rssi_dbm,lora_snr_db,receiver_running,radio_enabled,radio_initialized,non_telemetry_packets,decode_errors,lora_crc_errors,command_tx_count,command_tx_failures,details_json
2026-07-28T14:56:43.954098+00:00,1785250603.954098,backend_started,info,Ground-station backend started,,,,False,False,False,0,0,0,0,0,"{""frequency_hz"":869525000,""ground_event_csv_path"":""logs\\ground_station_events_20260728_165643.csv"",""host"":""127.0.0.1"",""port"":8000,""radio_enabled"":true,""spreading_factor"":8,""sync_word"":18,""telemetry_csv_path"":""logs\\telemetry_20260728_165643.csv"",""tx_power_dbm"":17}"
2026-07-28T14:56:43.970702+00:00,1785250603.970702,receiver_starting,info,Opening CH347/RFM95W ground radio,,,,True,True,False,0,0,0,0,0,{}
2026-07-28T14:56:44.197336+00:00,1785250604.197336,dashboard_connected,info,Dashboard WebSocket connected,,,,True,True,False,0,0,0,0,0,"{""active_connections"":1,""client_host"":""127.0.0.1"",""client_port"":58764}"
2026-07-28T14:56:44.333773+00:00,1785250604.333773,radio_initialized,info,Ground RFM95W initialized in continuous RX mode,,,,True,True,True,0,0,0,0,0,"{""version_register"":""0x12""}"
2026-07-28T14:56:56.688067+00:00,1785250616.688067,dashboard_disconnected,info,Dashboard WebSocket disconnected,,,,True,True,True,0,0,0,0,0,"{""active_connections"":0,""client_host"":""127.0.0.1"",""client_port"":58764}"
2026-07-28T14:56:57.334496+00:00,1785250617.334496,dashboard_connected,info,Dashboard WebSocket connected,,,,True,True,True,0,0,0,0,0,"{""active_connections"":1,""client_host"":""127.0.0.1"",""client_port"":63563}"
2026-07-28T14:59:58.270441+00:00,1785250798.270441,dashboard_connected,info,Dashboard WebSocket connected,,,,True,True,True,0,0,0,0,0,"{""active_connections"":2,""client_host"":""79.116.96.75"",""client_port"":0}"
2026-07-28T15:01:06.976243+00:00,1785250866.976243,dashboard_disconnected,info,Dashboard WebSocket disconnected,,,,True,True,True,0,0,0,0,0,"{""active_connections"":1,""client_host"":""79.116.96.75"",""client_port"":0}"
2026-07-28T15:02:01.248555+00:00,1785250921.248555,dashboard_connected,info,Dashboard WebSocket connected,,,,True,True,True,0,0,0,0,0,"{""active_connections"":2,""client_host"":""79.116.96.75"",""client_port"":0}"
2026-07-28T15:02:08.657474+00:00,1785250928.657474,dashboard_disconnected,info,Dashboard WebSocket disconnected,,,,True,True,True,0,0,0,0,0,"{""active_connections"":1,""client_host"":""79.116.96.75"",""client_port"":0}"
2026-07-28T15:02:09.299238+00:00,1785250929.299238,dashboard_connected,info,Dashboard WebSocket connected,,,,True,True,True,0,0,0,0,0,"{""active_connections"":2,""client_host"":""79.116.96.75"",""client_port"":0}"
2026-07-28T15:04:52.017996+00:00,1785251092.017996,dashboard_disconnected,info,Dashboard WebSocket disconnected,,,,True,True,True,0,0,0,0,0,"{""active_connections"":1,""client_host"":""79.116.96.75"",""client_port"":0}"
2026-07-28T15:04:52.645040+00:00,1785251092.64504,dashboard_connected,info,Dashboard WebSocket connected,,,,True,True,True,0,0,0,0,0,"{""active_connections"":2,""client_host"":""79.116.96.75"",""client_port"":0}"
2026-07-28T15:05:04.396172+00:00,1785251104.396172,dashboard_disconnected,info,Dashboard WebSocket disconnected,,,,True,True,True,0,0,0,0,0,"{""active_connections"":1,""client_host"":""79.116.96.75"",""client_port"":0}"
2026-07-28T15:05:05.128015+00:00,1785251105.128015,dashboard_connected,info,Dashboard WebSocket connected,,,,True,True,True,0,0,0,0,0,"{""active_connections"":2,""client_host"":""79.116.96.75"",""client_port"":0}"
2026-07-28T15:05:29.050970+00:00,1785251129.05097,dashboard_disconnected,info,Dashboard WebSocket disconnected,,,,True,True,True,0,0,0,0,0,"{""active_connections"":1,""client_host"":""79.116.96.75"",""client_port"":0}"
2026-07-28T15:05:29.837980+00:00,1785251129.83798,dashboard_connected,info,Dashboard WebSocket connected,,,,True,True,True,0,0,0,0,0,"{""active_connections"":2,""client_host"":""79.116.96.75"",""client_port"":0}"
2026-07-28T15:09:23.749200+00:00,1785251363.7492,lora_crc_error,warning,Ground radio reported a LoRa packet CRC error,,,,True,True,True,0,0,1,0,0,{}
2026-07-28T15:09:32.046495+00:00,1785251372.046495,non_telemetry_packet,warning,Ground radio received a packet with an unexpected length,,-124,-9.0,True,True,True,1,0,1,0,0,"{""expected_length"":92,""packet_length"":2,""payload_hex"":""12 00""}"
2026-07-28T15:09:34.545035+00:00,1785251374.545035,non_telemetry_packet,warning,Ground radio received a packet with an unexpected length,,-125,-8.75,True,True,True,2,0,1,0,0,"{""expected_length"":92,""packet_length"":4,""payload_hex"":""97 00 00 00""}"
2026-07-28T15:09:40.140493+00:00,1785251380.140493,non_telemetry_packet,warning,Ground radio received a packet with an unexpected length,,-128,-6.25,True,True,True,3,0,1,0,0,"{""expected_length"":92,""packet_length"":2,""payload_hex"":""12 00""}"
2026-07-28T15:10:04.426983+00:00,1785251404.426983,non_telemetry_packet,warning,Ground radio received a packet with an unexpected length,,-122,-7.75,True,True,True,4,0,1,0,0,"{""expected_length"":92,""packet_length"":2,""payload_hex"":""12 00""}"
2026-07-28T15:10:09.646336+00:00,1785251409.646336,lora_crc_error,warning,Ground radio reported a LoRa packet CRC error,,,,True,True,True,4,0,2,0,0,{}
2026-07-28T15:10:20.769458+00:00,1785251420.769458,dashboard_disconnected,info,Dashboard WebSocket disconnected,,,,True,True,True,4,0,2,0,0,"{""active_connections"":1,""client_host"":""79.116.96.75"",""client_port"":0}"
2026-07-28T15:10:21.371965+00:00,1785251421.371965,dashboard_connected,info,Dashboard WebSocket connected,,,,True,True,True,4,0,2,0,0,"{""active_connections"":2,""client_host"":""79.116.96.75"",""client_port"":0}"
2026-07-28T15:11:19.833629+00:00,1785251479.833629,lora_crc_error,warning,Ground radio reported a LoRa packet CRC error,,,,True,True,True,4,0,3,0,0,{}
2026-07-28T15:12:21.256490+00:00,1785251541.25649,dashboard_disconnected,info,Dashboard WebSocket disconnected,,,,True,True,True,4,0,3,0,0,"{""active_connections"":1,""client_host"":""79.116.96.75"",""client_port"":0}"
2026-07-28T15:12:21.832729+00:00,1785251541.832729,dashboard_connected,info,Dashboard WebSocket connected,,,,True,True,True,4,0,3,0,0,"{""active_connections"":2,""client_host"":""79.116.96.75"",""client_port"":0}"
2026-07-28T15:12:44.530241+00:00,1785251564.530241,dashboard_disconnected,info,Dashboard WebSocket disconnected,,,,True,True,True,4,0,3,0,0,"{""active_connections"":1,""client_host"":""79.116.96.75"",""client_port"":0}"
2026-07-28T15:13:03.017053+00:00,1785251583.017053,dashboard_connected,info,Dashboard WebSocket connected,,,,True,True,True,4,0,3,0,0,"{""active_connections"":2,""client_host"":""79.116.96.75"",""client_port"":0}"
2026-07-28T15:13:37.851289+00:00,1785251617.851289,telemetry_ack_sent,info,Ground acknowledged received telemetry,128,,,True,True,True,4,0,3,0,0,"{""payload"":""ACK,128""}"
2026-07-28T15:13:37.851289+00:00,1785251617.851289,telemetry_received,info,Received v8 telemetry sequence 128,128,-121,-8.0,True,True,True,4,0,3,0,0,"{""crc_ok"":true,""flight_state"":""LANDING"",""lost_packets_since_previous"":0,""packet_length"":92,""packet_type"":1,""protocol_version"":8}"
2026-07-28T15:13:57.533681+00:00,1785251637.533681,lora_crc_error,warning,Ground radio reported a LoRa packet CRC error,,,,True,True,True,4,0,4,0,0,{}
2026-07-28T15:14:09.030486+00:00,1785251649.030486,telemetry_ack_sent,info,Ground acknowledged received telemetry,131,,,True,True,True,4,0,4,0,0,"{""payload"":""ACK,131""}"
2026-07-28T15:14:09.030486+00:00,1785251649.030486,telemetry_received,info,Received v8 telemetry sequence 131,131,-121,-12.0,True,True,True,4,0,4,0,0,"{""crc_ok"":true,""flight_state"":""LANDING"",""lost_packets_since_previous"":2,""packet_length"":92,""packet_type"":1,""protocol_version"":8}"
2026-07-28T15:14:18.253785+00:00,1785251658.253785,dashboard_disconnected,info,Dashboard WebSocket disconnected,,,,True,True,True,4,0,4,0,0,"{""active_connections"":1,""client_host"":""79.116.96.75"",""client_port"":0}"
2026-07-28T15:14:19.713585+00:00,1785251659.713585,telemetry_ack_sent,info,Ground acknowledged received telemetry,132,,,True,True,True,4,0,4,0,0,"{""payload"":""ACK,132""}"
2026-07-28T15:14:19.713585+00:00,1785251659.713585,telemetry_received,info,Received v8 telemetry sequence 132,132,-120,-6.25,True,True,True,4,0,4,0,0,"{""crc_ok"":true,""flight_state"":""LANDING"",""lost_packets_since_previous"":0,""packet_length"":92,""packet_type"":1,""protocol_version"":8}"
2026-07-28T15:14:49.705794+00:00,1785251689.705794,lora_crc_error,warning,Ground radio reported a LoRa packet CRC error,,,,True,True,True,4,0,5,0,0,{}
2026-07-28T15:15:00.985506+00:00,1785251700.985506,dashboard_connected,info,Dashboard WebSocket connected,,,,True,True,True,4,0,5,0,0,"{""active_connections"":2,""client_host"":""79.116.96.75"",""client_port"":0}"
2026-07-28T15:15:10.296583+00:00,1785251710.296583,lora_crc_error,warning,Ground radio reported a LoRa packet CRC error,,,,True,True,True,4,0,6,0,0,{}
2026-07-28T15:15:20.587612+00:00,1785251720.587612,lora_crc_error,warning,Ground radio reported a LoRa packet CRC error,,,,True,True,True,4,0,7,0,0,{}
2026-07-28T15:15:41.172450+00:00,1785251741.17245,lora_crc_error,warning,Ground radio reported a LoRa packet CRC error,,,,True,True,True,4,0,8,0,0,{}
2026-07-28T15:16:01.802459+00:00,1785251761.802459,lora_crc_error,warning,Ground radio reported a LoRa packet CRC error,,,,True,True,True,4,0,9,0,0,{}
2026-07-28T15:16:11.452890+00:00,1785251771.45289,non_telemetry_packet,warning,Ground radio received a packet with an unexpected length,,-125,-11.0,True,True,True,5,0,9,0,0,"{""expected_length"":92,""packet_length"":4,""payload_hex"":""93 c0 00 00""}"
2026-07-28T15:16:12.121716+00:00,1785251772.121716,lora_crc_error,warning,Ground radio reported a LoRa packet CRC error,,,,True,True,True,5,0,10,0,0,{}
2026-07-28T15:16:16.829468+00:00,1785251776.829468,lora_crc_error,warning,Ground radio reported a LoRa packet CRC error,,,,True,True,True,5,0,11,0,0,{}
2026-07-28T15:16:19.531543+00:00,1785251779.531543,lora_crc_error,warning,Ground radio reported a LoRa packet CRC error,,,,True,True,True,5,0,12,0,0,{}
2026-07-28T15:16:22.399956+00:00,1785251782.399956,lora_crc_error,warning,Ground radio reported a LoRa packet CRC error,,,,True,True,True,5,0,13,0,0,{}
2026-07-28T15:16:24.944880+00:00,1785251784.94488,non_telemetry_packet,warning,Ground radio received a packet with an unexpected length,,-125,-10.5,True,True,True,6,0,13,0,0,"{""expected_length"":92,""packet_length"":4,""payload_hex"":""95 00 00 00""}"
2026-07-28T15:16:33.643111+00:00,1785251793.643111,telemetry_ack_sent,info,Ground acknowledged received telemetry,145,,,True,True,True,6,0,13,0,0,"{""payload"":""ACK,145""}"
2026-07-28T15:16:33.644149+00:00,1785251793.644149,telemetry_received,info,Received v8 telemetry sequence 145,145,-119,-1.0,True,True,True,6,0,13,0,0,"{""crc_ok"":true,""flight_state"":""LANDING"",""lost_packets_since_previous"":12,""packet_length"":92,""packet_type"":1,""protocol_version"":8}"
2026-07-28T15:16:35.755135+00:00,1785251795.755135,non_telemetry_packet,warning,Ground radio received a packet with an unexpected length,,-125,-7.75,True,True,True,7,0,13,0,0,"{""expected_length"":92,""packet_length"":4,""payload_hex"":""96 00 00 00""}"
2026-07-28T15:16:38.629817+00:00,1785251798.629817,non_telemetry_packet,warning,Ground radio received a packet with an unexpected length,,-128,-10.25,True,True,True,8,0,13,0,0,"{""expected_length"":92,""packet_length"":2,""payload_hex"":""12 00""}"
2026-07-28T15:16:43.934627+00:00,1785251803.934627,telemetry_ack_sent,info,Ground acknowledged received telemetry,146,,,True,True,True,8,0,13,0,0,"{""payload"":""ACK,146""}"
2026-07-28T15:16:43.934627+00:00,1785251803.934627,telemetry_received,info,Received v8 telemetry sequence 146,146,-120,-4.5,True,True,True,8,0,13,0,0,"{""crc_ok"":true,""flight_state"":""LANDING"",""lost_packets_since_previous"":0,""packet_length"":92,""packet_type"":1,""protocol_version"":8}"
2026-07-28T15:16:46.729699+00:00,1785251806.729699,lora_crc_error,warning,Ground radio reported a LoRa packet CRC error,,,,True,True,True,8,0,14,0,0,{}
2026-07-28T15:16:54.830568+00:00,1785251814.830568,non_telemetry_packet,warning,Ground radio received a packet with an unexpected length,,-128,-10.5,True,True,True,9,0,14,0,0,"{""expected_length"":92,""packet_length"":2,""payload_hex"":""12 00""}"
2026-07-28T15:17:13.445650+00:00,1785251833.44565,dashboard_disconnected,info,Dashboard WebSocket disconnected,,,,True,True,True,9,0,14,0,0,"{""active_connections"":1,""client_host"":""79.116.96.75"",""client_port"":0}"
2026-07-28T15:17:13.549212+00:00,1785251833.549212,non_telemetry_packet,warning,Ground radio received a packet with an unexpected length,,-122,-9.5,True,True,True,10,0,14,0,0,"{""expected_length"":92,""packet_length"":4,""payload_hex"":""91 80 00 00""}"
2026-07-28T15:17:24.231852+00:00,1785251844.231852,lora_crc_error,warning,Ground radio reported a LoRa packet CRC error,,,,True,True,True,10,0,15,0,0,{}
2026-07-28T15:17:31.199188+00:00,1785251851.199188,dashboard_connected,info,Dashboard WebSocket connected,,,,True,True,True,10,0,15,0,0,"{""active_connections"":2,""client_host"":""79.116.96.75"",""client_port"":0}"
2026-07-28T15:17:55.435558+00:00,1785251875.435558,lora_crc_error,warning,Ground radio reported a LoRa packet CRC error,,,,True,True,True,10,0,16,0,0,{}
2026-07-28T15:18:06.603564+00:00,1785251886.603564,telemetry_ack_sent,info,Ground acknowledged received telemetry,154,,,True,True,True,10,0,16,0,0,"{""payload"":""ACK,154""}"
2026-07-28T15:18:06.603564+00:00,1785251886.603564,telemetry_received,info,Received v8 telemetry sequence 154,154,-118,1.25,True,True,True,10,0,16,0,0,"{""crc_ok"":true,""flight_state"":""LANDING"",""lost_packets_since_previous"":7,""packet_length"":92,""packet_type"":1,""protocol_version"":8}"
2026-07-28T15:18:17.385215+00:00,1785251897.385215,telemetry_ack_sent,info,Ground acknowledged received telemetry,155,,,True,True,True,10,0,16,0,0,"{""payload"":""ACK,155""}"
2026-07-28T15:18:17.385215+00:00,1785251897.385215,telemetry_received,info,Received v8 telemetry sequence 155,155,-113,7.25,True,True,True,10,0,16,0,0,"{""crc_ok"":true,""flight_state"":""LANDING"",""lost_packets_since_previous"":0,""packet_length"":92,""packet_type"":1,""protocol_version"":8}"
2026-07-28T15:18:27.699508+00:00,1785251907.699508,telemetry_ack_sent,info,Ground acknowledged received telemetry,156,,,True,True,True,10,0,16,0,0,"{""payload"":""ACK,156""}"
2026-07-28T15:18:27.699508+00:00,1785251907.699508,telemetry_received,info,Received v8 telemetry sequence 156,156,-113,6.5,True,True,True,10,0,16,0,0,"{""crc_ok"":true,""flight_state"":""LANDING"",""lost_packets_since_previous"":0,""packet_length"":92,""packet_type"":1,""protocol_version"":8}"
2026-07-28T15:18:37.127681+00:00,1785251917.127681,lora_crc_error,warning,Ground radio reported a LoRa packet CRC error,,,,True,True,True,10,0,17,0,0,{}
2026-07-28T15:18:39.940193+00:00,1785251919.940193,non_telemetry_packet,warning,Ground radio received a packet with an unexpected length,,-124,-9.75,True,True,True,11,0,17,0,0,"{""expected_length"":92,""packet_length"":4,""payload_hex"":""91 80 00 00""}"
2026-07-28T15:18:47.419151+00:00,1785251927.419151,lora_crc_error,warning,Ground radio reported a LoRa packet CRC error,,,,True,True,True,11,0,18,0,0,{}
2026-07-28T15:18:58.614216+00:00,1785251938.614216,telemetry_ack_sent,info,Ground acknowledged received telemetry,159,,,True,True,True,11,0,18,0,0,"{""payload"":""ACK,159""}"
2026-07-28T15:18:58.614216+00:00,1785251938.614216,telemetry_received,info,Received v8 telemetry sequence 159,159,-108,10.0,True,True,True,11,0,18,0,0,"{""crc_ok"":true,""flight_state"":""LANDING"",""lost_packets_since_previous"":2,""packet_length"":92,""packet_type"":1,""protocol_version"":8}"
2026-07-28T15:19:08.923272+00:00,1785251948.923272,telemetry_ack_sent,info,Ground acknowledged received telemetry,160,,,True,True,True,11,0,18,0,0,"{""payload"":""ACK,160""}"
2026-07-28T15:19:08.923272+00:00,1785251948.923272,telemetry_received,info,Received v8 telemetry sequence 160,160,-94,12.0,True,True,True,11,0,18,0,0,"{""crc_ok"":true,""flight_state"":""LANDING"",""lost_packets_since_previous"":0,""packet_length"":92,""packet_type"":1,""protocol_version"":8}"
2026-07-28T15:19:12.346723+00:00,1785251952.346723,non_telemetry_packet,warning,Ground radio received a packet with an unexpected length,,-124,-8.75,True,True,True,12,0,18,0,0,"{""expected_length"":92,""packet_length"":4,""payload_hex"":""94 80 00 00""}"
2026-07-28T15:19:19.223920+00:00,1785251959.22392,telemetry_ack_sent,info,Ground acknowledged received telemetry,161,,,True,True,True,12,0,18,0,0,"{""payload"":""ACK,161""}"
2026-07-28T15:19:19.223920+00:00,1785251959.22392,telemetry_received,info,Received v8 telemetry sequence 161,161,-98,10.5,True,True,True,12,0,18,0,0,"{""crc_ok"":true,""flight_state"":""LANDING"",""lost_packets_since_previous"":0,""packet_length"":92,""packet_type"":1,""protocol_version"":8}"
2026-07-28T15:19:25.820893+00:00,1785251965.820893,lora_crc_error,warning,Ground radio reported a LoRa packet CRC error,,,,True,True,True,12,0,19,0,0,{}
2026-07-28T15:19:29.519642+00:00,1785251969.519642,telemetry_ack_sent,info,Ground acknowledged received telemetry,162,,,True,True,True,12,0,19,0,0,"{""payload"":""ACK,162""}"
2026-07-28T15:19:29.519642+00:00,1785251969.519642,telemetry_received,info,Received v8 telemetry sequence 162,162,-118,1.75,True,True,True,12,0,19,0,0,"{""crc_ok"":true,""flight_state"":""LANDING"",""lost_packets_since_previous"":0,""packet_length"":92,""packet_type"":1,""protocol_version"":8}"
2026-07-28T15:19:39.809057+00:00,1785251979.809057,telemetry_ack_sent,info,Ground acknowledged received telemetry,163,,,True,True,True,12,0,19,0,0,"{""payload"":""ACK,163""}"
2026-07-28T15:19:39.809057+00:00,1785251979.809057,telemetry_received,info,Received v8 telemetry sequence 163,163,-100,12.25,True,True,True,12,0,19,0,0,"{""crc_ok"":true,""flight_state"":""LANDING"",""lost_packets_since_previous"":0,""packet_length"":92,""packet_type"":1,""protocol_version"":8}"
2026-07-28T15:19:50.353253+00:00,1785251990.353253,telemetry_ack_sent,info,Ground acknowledged received telemetry,164,,,True,True,True,12,0,19,0,0,"{""payload"":""ACK,164""}"
2026-07-28T15:19:50.353253+00:00,1785251990.353253,telemetry_received,info,Received v8 telemetry sequence 164,164,-95,12.0,True,True,True,12,0,19,0,0,"{""crc_ok"":true,""flight_state"":""LANDING"",""lost_packets_since_previous"":0,""packet_length"":92,""packet_type"":1,""protocol_version"":8}"
2026-07-28T15:20:00.883868+00:00,1785252000.883868,telemetry_ack_sent,info,Ground acknowledged received telemetry,165,,,True,True,True,12,0,19,0,0,"{""payload"":""ACK,165""}"
2026-07-28T15:20:00.883868+00:00,1785252000.883868,telemetry_received,info,Received v8 telemetry sequence 165,165,-98,10.75,True,True,True,12,0,19,0,0,"{""crc_ok"":true,""flight_state"":""LANDING"",""lost_packets_since_previous"":0,""packet_length"":92,""packet_type"":1,""protocol_version"":8}"
2026-07-28T15:20:11.324426+00:00,1785252011.324426,telemetry_ack_sent,info,Ground acknowledged received telemetry,166,,,True,True,True,12,0,19,0,0,"{""payload"":""ACK,166""}"
2026-07-28T15:20:11.324426+00:00,1785252011.324426,telemetry_received,info,Received v8 telemetry sequence 166,166,-97,11.5,True,True,True,12,0,19,0,0,"{""crc_ok"":true,""flight_state"":""LANDING"",""lost_packets_since_previous"":0,""packet_length"":92,""packet_type"":1,""protocol_version"":8}"
2026-07-28T15:20:21.657992+00:00,1785252021.657992,telemetry_ack_sent,info,Ground acknowledged received telemetry,167,,,True,True,True,12,0,19,0,0,"{""payload"":""ACK,167""}"
2026-07-28T15:20:21.657992+00:00,1785252021.657992,telemetry_received,info,Received v8 telemetry sequence 167,167,-96,12.0,True,True,True,12,0,19,0,0,"{""crc_ok"":true,""flight_state"":""LANDING"",""lost_packets_since_previous"":0,""packet_length"":92,""packet_type"":1,""protocol_version"":8}"
2026-07-28T15:20:32.005222+00:00,1785252032.005222,telemetry_ack_sent,info,Ground acknowledged received telemetry,168,,,True,True,True,12,0,19,0,0,"{""payload"":""ACK,168""}"
2026-07-28T15:20:32.005222+00:00,1785252032.005222,telemetry_received,info,Received v8 telemetry sequence 168,168,-98,11.5,True,True,True,12,0,19,0,0,"{""crc_ok"":true,""flight_state"":""LANDING"",""lost_packets_since_previous"":0,""packet_length"":92,""packet_type"":1,""protocol_version"":8}"
