pc_receive_time_iso,pc_receive_time_unix,lora_downlink_rssi_dbm,lora_downlink_snr_db,lora_crc_error,telemetry_valid,packet_type,protocol_version,packet_type_ok,protocol_version_ok,length_ok,crc_ok,received_crc16,calculated_crc16,sequence_number,sequence_session_reset,lost_packets_since_previous,total_lost_packets,is_duplicate_packet,consecutive_duplicate_packets,total_duplicate_packets,utc_timestamp,obc_uptime_ms,sample_age_ms,gnss_utc_sod,flight_state,flight_state_name,status_flags_raw,GNSS_FIX_VALID,GNSS_TIME_VALID,IMU_VALID,BARO_VALID,BARO_RANGE_VALID,BATTERY_VALID,CORAL_VALID,CORAL_NEW,SD_LOGGING_OK,LAST_LORA_TX_OK,COMMAND_RX_SINCE_LAST,OBC_TIME_FALLBACK,GPS_ERROR,IMU_ERROR,BARO_ERROR,SD_ERROR,battery_mv,battery_v,gnss_fix_type,gnss_satellites_used,latitude_deg,longitude_deg,gnss_altitude_m,ground_speed_ms,vertical_speed_ms,course_deg,latitude_e7,longitude_e7,gnss_altitude_dm,vertical_speed_cms,ground_speed_cms,course_cdeg,baro_pressure_pa,baro_temperature_c,baro_altitude_m,accel_x_ms2,accel_y_ms2,accel_z_ms2,gyro_x_rads,gyro_y_rads,gyro_z_rads,accel_x_mg,accel_y_mg,accel_z_mg,gyro_x_ddeg_s,gyro_y_ddeg_s,gyro_z_ddeg_s,baro_altitude_dm,baro_temperature_cdeg,reset_cause_raw,PIN_RESET,BOR_RESET,SOFTWARE_RESET,IWDG_RESET,WWDG_RESET,LOW_POWER_RESET,OPTION_BYTE_RESET,FIREWALL_RESET,boot_count,sd_error_counter,gnss_fix_valid_raw,gps_valid_raw,imu_accel_x_g,imu_accel_y_g,imu_accel_z_g,imu_accel_mag_g,imu_gyro_x_dps,imu_gyro_y_dps,imu_gyro_z_dps,imu_valid_raw,baro_valid_raw,i2c_bus_state_raw,batt_valid_raw,coral_valid_raw,scv_mission_elapsed_ms,scv_equipment_enabled,scv_equipment_enabled_decoded,scv_equipment_faults,scv_equipment_faults_decoded,scv_sd_fault_count,scv_watchdog_reset_count,reset_reason_name,uplink_last_status,uplink_last_status_name,uplink_last_command_id,uplink_last_ack_status,uplink_last_ack_status_name,lora_last_event,lora_last_event_name,lora_consecutive_failures,lora_recovery_count,lora_rx_mode_active,lora_last_rx_status,lora_last_rx_status_name,lora_ack_timeout_count,lora_tx_fault_count,coral_status,coral_result_age_s,coral_sequence_low,coral_fraction_q16,coral_fraction_percent,coral_payload_text,coral_payload_hex
2026-07-28T11:26:59.497490+00:00,1785238019.49749,-69,12.5,False,True,1,8,True,True,True,True,0x93F8,0x93F8,6,False,0,0,False,0,0,,65000,76,,0,STANDBY,30,False,False,True,True,True,True,True,False,True,True,False,False,False,False,False,False,4012,4.012,0,0,,,,,,,,,,,,,95721.0,27.6,0.4,-9.44380395,-1.08853815,1.4513842,-0.019198621771937627,-0.005235987755982988,-0.026179938779914945,-963,-111,148,-11,-3,-15,4,2760,1,False,False,False,False,False,False,False,False,5,0,0,0,-0.963,-0.111,0.148,0.9806089944519171,-1.1,-0.3,-1.5,1,1,0,1,1,0,0x007F,"GPS, IMU, BARO, CORAL, SD, LORA, EPS_ADC",0x0000,NONE,0,0,POWER_ON,0,NONE,0,0,NONE,13,ACK_TIMEOUT,0,0,1,1,ACTIVE,6,0,0,14,218,511,0.7797360189211872,seq=218 cloud=0.78% status=0x00,da 00 ff 01 00 0e 00
2026-07-28T11:27:09.795764+00:00,1785238029.795764,-61,12.5,False,True,1,8,True,True,True,True,0xB527,0xB527,7,False,0,0,False,0,0,,75000,32,,0,STANDBY,30,False,False,True,True,True,True,True,False,True,True,False,False,False,False,False,False,3996,3.996,0,0,,,,,,,,,,,,,95727.0,27.63,-0.2,-9.375157399999999,-0.980665,0.7453053999999999,0.013962634015954637,0.048869219055841226,-0.08028514559173916,-956,-100,76,8,28,-46,-2,2763,1,False,False,False,False,False,False,False,False,5,0,0,0,-0.956,-0.1,0.076,0.9642157434931251,0.8,2.8,-4.6,1,1,0,1,1,0,0x007F,"GPS, IMU, BARO, CORAL, SD, LORA, EPS_ADC",0x0000,NONE,0,0,POWER_ON,0,NONE,0,1,ACCEPTED,9,RX_OK,0,0,1,2,PACKET_OK,6,0,0,6,219,255,0.38910505836575876,seq=219 cloud=0.39% status=0x00,db 00 ff 00 00 06 00
2026-07-28T11:27:20.105791+00:00,1785238040.105791,-58,12.25,False,True,1,8,True,True,True,True,0xF1AB,0xF1AB,8,False,0,0,False,0,0,,85000,20,,0,STANDBY,30,False,False,True,True,True,True,True,False,True,True,False,False,False,False,False,False,4016,4.016,0,0,,,,,,,,,,,,,95725.0,27.66,0.0,-9.5516771,-0.5197524499999999,-0.5883989999999999,-0.029670597283903602,-0.019198621771937627,0.017453292519943295,-974,-53,-60,-17,-11,10,0,2766,1,False,False,False,False,False,False,False,False,5,0,0,0,-0.974,-0.053,-0.06,0.9772845031002998,-1.7,-1.1,1.0,1,1,0,1,1,0,0x007F,"GPS, IMU, BARO, CORAL, SD, LORA, EPS_ADC",0x0000,NONE,0,0,POWER_ON,0,NONE,0,1,ACCEPTED,9,RX_OK,0,0,1,2,PACKET_OK,6,0,0,17,219,255,0.38910505836575876,seq=219 cloud=0.39% status=0x00,db 00 ff 00 00 11 00
2026-07-28T11:27:30.729751+00:00,1785238050.729751,-55,9.75,False,True,1,8,True,True,True,True,0xA7A9,0xA7A9,9,False,0,0,False,0,0,,96000,40,,0,STANDBY,30,False,False,True,True,True,True,True,False,True,True,False,False,False,False,False,False,3996,3.996,0,0,,,,,,,,,,,,,95725.0,27.69,0.0,-9.54187045,-0.6668522,0.5295591,0.0017453292519943296,-0.0890117918517108,-0.022689280275926284,-973,-68,54,1,-51,-13,0,2769,1,False,False,False,False,False,False,False,False,5,0,0,0,-0.973,-0.068,0.054,0.976866930548885,0.1,-5.1,-1.3,1,1,0,1,1,0,0x007F,"GPS, IMU, BARO, CORAL, SD, LORA, EPS_ADC",0x0000,NONE,0,0,POWER_ON,0,NONE,0,1,ACCEPTED,9,RX_OK,0,0,1,2,PACKET_OK,6,0,0,10,220,1791,2.732890821698329,seq=220 cloud=2.73% status=0x00,dc 00 ff 06 00 0a 00
2026-07-28T11:27:41.018957+00:00,1785238061.018957,-61,11.75,False,True,1,8,True,True,True,True,0xDA25,0xDA25,10,False,0,0,False,0,0,,106000,51,,0,STANDBY,30,False,False,True,True,True,True,True,False,True,True,False,False,False,False,False,False,3996,3.996,0,0,,,,,,,,,,,,,95721.0,27.72,0.4,-9.7085835,-0.65704555,0.16671305,0.0645771823237902,0.13962634015954636,-0.08203047484373349,-990,-67,17,37,80,-47,4,2772,1,False,False,False,False,False,False,False,False,5,0,0,0,-0.99,-0.067,0.017,0.9924101974486155,3.7,8.0,-4.7,1,1,0,1,1,0,0x007F,"GPS, IMU, BARO, CORAL, SD, LORA, EPS_ADC",0x0000,NONE,0,0,POWER_ON,0,NONE,0,1,ACCEPTED,9,RX_OK,0,0,1,2,PACKET_OK,6,0,0,2,221,1279,1.9516289005874723,seq=221 cloud=1.95% status=0x00,dd 00 ff 04 00 02 00
2026-07-28T11:27:51.315883+00:00,1785238071.315883,-60,10.5,False,True,1,8,True,True,True,True,0x5CEB,0x5CEB,11,False,0,0,False,0,0,,116000,65,,0,STANDBY,30,False,False,True,True,True,True,True,False,True,True,False,False,False,False,False,False,4006,4.006,0,0,,,,,,,,,,,,,95720.0,27.75,0.3,-9.414383999999998,0.2353596,-3.138128,-0.03316125578789226,-0.09250245035569947,-0.029670597283903602,-960,24,-320,-19,-53,-17,3,2775,1,False,False,False,False,False,False,False,False,5,0,0,0,-0.96,0.024,-0.32,1.0122134162319723,-1.9,-5.3,-1.7,1,1,0,1,1,0,0x007F,"GPS, IMU, BARO, CORAL, SD, LORA, EPS_ADC",0x0000,NONE,0,0,POWER_ON,0,NONE,0,1,ACCEPTED,9,RX_OK,0,0,1,2,PACKET_OK,6,0,0,13,221,1279,1.9516289005874723,seq=221 cloud=1.95% status=0x00,dd 00 ff 04 00 0d 00
2026-07-28T11:28:01.605673+00:00,1785238081.605673,-56,12.0,False,True,1,8,True,True,True,True,0x2B4B,0x2B4B,12,False,0,0,False,0,0,,127000,11,,0,STANDBY,30,False,False,True,True,True,True,True,False,True,True,False,False,False,False,False,False,4009,4.009,0,0,,,,,,,,,,,,,95726.0,27.78,-0.2,-9.42419065,-0.4216859499999999,0.6080123,-0.06806784082777885,0.005235987755982988,-0.08552113334772216,-961,-43,62,-39,3,-49,-2,2778,1,False,False,False,False,False,False,False,False,5,0,0,0,-0.961,-0.043,0.062,0.9639574679414025,-3.9,0.3,-4.9,1,1,0,1,1,0,0x007F,"GPS, IMU, BARO, CORAL, SD, LORA, EPS_ADC",0x0000,NONE,0,0,POWER_ON,0,NONE,0,1,ACCEPTED,9,RX_OK,0,0,1,2,PACKET_OK,6,0,0,5,222,1791,2.732890821698329,seq=222 cloud=2.73% status=0x00,de 00 ff 06 00 05 00
2026-07-28T11:28:11.977988+00:00,1785238091.977988,-63,12.5,False,True,1,8,True,True,True,True,0x1E1A,0x1E1A,13,False,0,0,False,0,0,,137000,88,,0,STANDBY,30,False,False,True,True,True,True,True,False,True,True,False,False,False,False,False,False,4009,4.009,0,0,,,,,,,,,,,,,95720.0,27.81,0.3,-9.473223899999999,-1.2552512,0.14709974999999997,-0.038397243543875255,-0.038397243543875255,-0.003490658503988659,-966,-128,15,-22,-22,-2,3,2781,1,False,False,False,False,False,False,False,False,5,0,0,0,-0.966,-0.128,0.015,0.9745588745683864,-2.2,-2.2,-0.2,1,1,0,1,1,0,0x007F,"GPS, IMU, BARO, CORAL, SD, LORA, EPS_ADC",0x0000,NONE,0,0,POWER_ON,0,NONE,0,1,ACCEPTED,9,RX_OK,0,0,1,2,PACKET_OK,6,0,0,16,222,1791,2.732890821698329,seq=222 cloud=2.73% status=0x00,de 00 ff 06 00 10 00
2026-07-28T11:28:22.559318+00:00,1785238102.559318,-56,12.0,False,True,1,8,True,True,True,True,0xAFB4,0xAFB4,14,False,0,0,False,0,0,,148000,35,,0,STANDBY,30,False,False,True,True,True,True,True,False,True,True,False,False,False,False,False,False,4003,4.003,0,0,,,,,,,,,,,,,95725.0,27.84,-0.1,-9.60071035,-0.21574629999999997,0.9610517,0.017453292519943295,0.0645771823237902,-0.03316125578789226,-979,-22,98,10,37,-19,-1,2784,1,False,False,False,False,False,False,False,False,5,0,0,0,-0.979,-0.022,0.098,0.9841387097355738,1.0,3.7,-1.9,1,1,0,1,1,0,0x007F,"GPS, IMU, BARO, CORAL, SD, LORA, EPS_ADC",0x0000,NONE,0,0,POWER_ON,0,NONE,0,1,ACCEPTED,9,RX_OK,0,0,1,2,PACKET_OK,6,0,0,9,223,511,0.7797360189211872,seq=223 cloud=0.78% status=0x00,df 00 ff 01 00 09 00
2026-07-28T11:28:32.986490+00:00,1785238112.98649,-67,12.25,False,True,1,8,True,True,True,True,0xB02B,0xB02B,15,False,0,0,False,0,0,,158000,78,,0,STANDBY,30,False,False,True,True,True,True,True,False,True,True,False,False,False,False,False,False,3996,3.996,0,0,,,,,,,,,,,,,95722.0,27.87,0.1,-9.14960445,-0.8727918499999999,0.18632634999999997,-0.015707963267948967,-0.08203047484373349,0.022689280275926284,-933,-89,19,-9,-47,13,1,2787,1,False,False,False,False,False,False,False,False,5,0,0,0,-0.933,-0.089,0.019,0.9374278638914036,-0.9,-4.7,1.3,1,1,0,1,1,0,0x007F,"GPS, IMU, BARO, CORAL, SD, LORA, EPS_ADC",0x0000,NONE,0,0,POWER_ON,0,NONE,0,1,ACCEPTED,9,RX_OK,0,0,1,2,PACKET_OK,6,0,0,1,224,511,0.7797360189211872,seq=224 cloud=0.78% status=0x00,e0 00 ff 01 00 01 00
