nvm_seq,flash_page,flash_slot,flash_offset,record_timestamp_ms,gps_lat_deg,gps_lon_deg,gps_alt_m,gps_speed_mps,gps_vel_down_mps,gps_heading_deg,gps_utc_time,gps_num_satellites,gps_fix_type,gps_valid,imu_accel_x_g,imu_accel_y_g,imu_accel_z_g,imu_accel_mag_g,imu_gyro_x_dps,imu_gyro_y_dps,imu_gyro_z_dps,imu_valid,baro_pressure_pa,baro_alt_m,baro_temp_c,baro_valid,i2c_bus_state,batt_voltage_mv,batt_valid,coral_block,coral_valid,record_crc16
0,0,0,0,30417,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1657,1,00000000000000000000000000000000,0,0xD000
1,0,1,104,30406,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1699,1,00000000000000000000000000000000,0,0x7DCD
2,0,2,208,60478,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1648,1,00000000000000000000000000000000,0,0x6508
3,0,3,312,90550,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1648,1,00000000000000000000000000000000,0,0x7F24
4,0,4,416,120622,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1651,1,00000000000000000000000000000000,0,0x02AE
5,0,5,520,150698,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,1648,1,00000000000000000000000000000000,0,0x2844
6,0,6,624,30124,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-0.95751953125,0.125732421875,0.157470703125,0.9784933924674988,-0.7175572514533997,0.6030534505844116,-0.732824444770813,1,95816.0,415.7454833984375,26.520000457763672,1,0,0,1,00000000000000000000000000000000,0,0x7354
7,0,7,728,67447,0.0,0.0,-17.0,0.0,0.0,0.0,133,0,0,0,-0.9501953125,0.129150390625,0.164306640625,0.972906768321991,-0.9007633328437805,0.4122137427330017,-1.0763359069824219,0,95815.0,415.8326721191406,26.559999465942383,1,0,0,1,00000000000000000000000000000000,0,0x35C3
8,0,8,832,38730,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,-0.96533203125,0.144287109375,0.067626953125,0.9783957004547119,-0.8778625726699829,0.7480915784835815,-1.0152671337127686,1,95812.0,416.0969543457031,26.579999923706055,1,0,0,1,00000000000000000000000000000000,0,0x10CE
9,0,9,936,68712,0.0,0.0,-17.0,0.0,0.0,0.0,245,0,0,0,-0.872802734375,0.080322265625,0.413330078125,0.9690603613853455,-1.305343508720398,-1.5572519302368164,-1.496183156967163,1,95813.0,416.009765625,26.559999465942383,1,0,0,1,00000000000000000000000000000000,0,0xE529
10,0,10,1040,98805,0.0,0.0,-17.0,0.0,0.0,0.0,316,0,0,0,-0.94921875,0.130859375,0.151123046875,0.970040500164032,-0.8702290058135986,-0.015267175622284412,-0.9007633328437805,1,95814.0,415.9225769042969,26.639999389648438,1,0,0,1,00000000000000000000000000000000,0,0x5DF5
11,0,11,1144,128851,0.0,0.0,-17.0,0.0,0.0,0.0,346,0,0,0,-0.954345703125,0.134765625,0.12841796875,0.9723315834999084,-0.9847328066825867,0.16030533611774445,-1.038167953491211,1,95814.0,415.9225769042969,26.719999313354492,1,0,0,1,00000000000000000000000000000000,0,0xC846
12,0,12,1248,158902,0.0,0.0,-17.0,0.0,0.0,0.0,416,0,0,0,-0.956298828125,0.138427734375,0.1259765625,0.9744433164596558,-0.9694656729698181,0.007633587811142206,-1.267175555229187,1,95816.0,415.7508239746094,26.770000457763672,1,0,0,1,00000000000000000000000000000000,0,0xDA67
